fk_cuso,fk_dren,consor_nome,AGGREGATO,consor_area,inter_perma_area
"7","1",CONSORZIO IRRIGUO PIAN DEL CASTELLETTO,"21",31.10,3.117
"4","5",CONSORZIO IRRIGUO RIVO MEIRANO,"23",614.50,3.892
"5","1",CONSORZIO IRRIGUO CANALE LORETO,"18",1725.79,1.701
"3","3",CONSORZIO IRRIGUO TAVOLERA SAVELLA,"24",1920.62,5.036
"3","1",CONSORZIO IRRIGUO TAVOLERA SAVELLA,"24",1920.62,2.983
"4","2",CONSORZIO IRRIGUO BEALERA GABIOLA,"14",96.45,1.931
"1","3",CONSORZIO IRRIGUO LA PIOZZA,"26",859.37,4.862
"1","3",CONSORZIO IRRIGUO BEALERE INTERNE (LEQUIO TANARO),"24",548.23,2.636
"2","4",CONSORZIO IRRIGUO TAVOLERA DI TRINITA',"24",1444.14,13.504
"5","1",CONSORZIO IRRIGUO ROVERE BOSCHETTI,"23",184.55,3.325
"5","1",CONSORZIO IRRIGUO CANALE DEL MULINO,"16",314.78,27.919
"5","1",C.I. BEALERA E POZZI IRRIGUI DEI MOLINI DI CAVALLERMAGGIORE,"17",611.06,15.301
"4","2",CONSORZIO IRRIGUO RAMO STURA,"25",228.61,2.781
"6","2",CONSORZIO IRRIGUO MARTINIANESE,"14",231.45,2.899
"4","2",CONSORZIO IRRIGUO MARTINIANESE,"14",231.45,7.876
"1","3",CONSORZIO IRRIGUO LA PIOZZA,"26",859.37,12.316
"7","1",CONSORZIO IRRIGUO GAMBARELLO,"26",81.59,2.833
"7","1",CONSORZIO IRRIGUO E DI MIGLIORAMENTO FONDIARIO ACQUE DEL TORRENTE PESIO,"26",748.53,4.676
"7","1",CONS.IRRIGUO BEDALE SOTTANO,"25",22.20,1.892
"7","1",BEALERA GERBINA,"25",21.20,0.068
"7","1",CONSORZIO IRRIGUO BEALERA PRAVERO,"25",186.67,1.926
"7","1",CONSORZIO IRRIGUO ROBILANTESE,"25",86.56,6.914
"2","4",EX PARTECIPANZA CANALE NAVIGLIO DI BOVES E SPINETTA,"25",1970.13,5.461
"5","1",CONSORZIO IRRIGUO RAMO STURA,"25",228.61,8.362
"2","3",CONSORZIO IRRIGUO CARTIGNANESE,"19",145.99,5.852
"7","1",CONSORZIO IRRIGUO TETTI PONTE-BEDALE,"19",265.02,32.056
"7","1",CONSORZIO IRRIGUO CARTIGNANESE,"19",145.99,5.433
"7","1",COMUNE DI VILLAR SAN COSTANZO-CANALE COMELLA,"19",505.48,15.848
"7","1",COMUNE DI DRONERO 'CANALE MARCHISA E CANALE TRENTA LITRI',"19",1848.89,30.239
"2","3",COMUNE DI DRONERO 'CANALE MARCHISA E CANALE TRENTA LITRI',"19",1848.89,287.300
"2","3",CONSORZIO IRRIGUO LA PRESIDENZA RAMO BUSCA,"19",1010.13,113.265
"2","3",CONSORZIO IRRIGUO CANALE VARAGLIA,"18",845.59,66.818
"7","1",CONSORZIO IRRIGUO BEALERA BAGNASCHINA,"27",44.08,2.429
"7","1",C.I. UTENTI BEALERA MARRO,"27",32.74,9.342
"7","1",CONSORZIO IRRIGUO BEALERA MARTINET,"27",18.79,2.069
"7","1",CONSORZIO IRRIGUO BERTINA-PASTORELLI,"27",70.64,1.329
"7","1",CONSORZIO BEALERA FERRETTA,"27",338.67,3.404
"7","1",CONSORZIO IRRIGUO UTENTI BEALERA RIA',"27",38.18,1.621
"7","1",C.I. UTENTI BEALERA FOLLONE,"27",20.09,0.956
"5","1",CONSORZIO IRRIGUO PIAN DEL CASTELLETTO,"21",31.10,15.596
